Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,3769,2753,1016,2226,1543,363,363,NA,NA,363,15,15,NA,15,NA,1570,1570,NA,756,814,27,27,NA,27,NA,103,103,NA,103,NA,675,675,NA,318,357,1016,NA,1016,1007,9,January
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1780,1388,392,971,809,325,325,NA,NA,325,7,7,NA,7,NA,597,597,NA,334,263,13,13,NA,13,NA,54,54,NA,54,NA,392,392,NA,176,216,392,NA,392,387,5,January
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,1327,1115,212,783,544,89,89,NA,NA,89,12,12,NA,12,NA,567,567,NA,304,263,4,4,NA,4,NA,50,50,NA,50,NA,393,393,NA,210,183,212,NA,212,203,9,January
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,929,746,183,661,268,82,82,NA,NA,82,6,6,NA,6,NA,376,376,NA,289,87,7,7,NA,7,NA,46,46,NA,46,NA,229,229,NA,136,93,183,NA,183,177,6,January
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,170,145,25,105,65,2,2,NA,NA,2,0,0,NA,0,NA,76,76,NA,41,35,0,0,NA,0,NA,21,21,NA,21,NA,46,46,NA,21,25,25,NA,25,22,3,January
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1341,1041,300,661,680,173,173,NA,NA,173,1,1,NA,1,NA,576,576,NA,191,385,8,8,NA,8,NA,83,83,NA,83,NA,200,200,NA,87,113,300,NA,300,291,9,January
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1033,733,300,590,443,2,2,NA,NA,2,1,1,NA,1,NA,541,541,NA,156,385,5,5,NA,5,NA,83,83,NA,83,NA,101,101,NA,54,47,300,NA,300,291,9,January
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,675,638,37,290,385,2,2,NA,NA,2,0,0,NA,0,NA,442,442,NA,152,290,0,0,NA,0,NA,58,58,NA,58,NA,136,136,NA,48,88,37,NA,37,32,5,January
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,1900,1674,226,499,1401,513,513,NA,NA,513,0,0,NA,0,NA,957,957,NA,157,800,10,10,NA,10,NA,41,41,NA,41,NA,153,153,NA,67,86,226,NA,226,224,2,January
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,30,19,11,11,19,0,0,NA,NA,0,0,0,NA,0,NA,19,19,NA,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,11,NA,11,11,0,January
