Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month,Year
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,4345,2897,1448,1836,2509,297,297,NA,NA,297,9,9,NA,9,NA,1807,1807,NA,739,1068,25,25,NA,25,NA,99,99,NA,99,NA,660,660,NA,331,329,1448,NA,1448,633,815,January,2018
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,2143,1521,622,1039,1104,203,203,NA,NA,203,5,5,NA,5,NA,862,862,NA,390,472,2,2,NA,2,NA,55,55,NA,55,NA,394,394,NA,177,217,622,NA,622,410,212,January,2018
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,1427,1128,299,756,671,85,85,NA,NA,85,6,6,NA,6,NA,544,544,NA,233,311,12,12,NA,12,NA,68,68,NA,68,NA,413,413,NA,193,220,299,NA,299,244,55,January,2018
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,1070,779,291,645,425,78,78,NA,NA,78,6,6,NA,6,NA,348,348,NA,223,125,14,14,NA,14,NA,59,59,NA,59,NA,274,274,NA,118,156,291,NA,291,225,66,January,2018
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,170,138,32,117,53,NA,NA,NA,NA,NA,0,0,NA,0,NA,70,70,NA,47,23,2,2,NA,2,NA,13,13,NA,13,NA,53,53,NA,23,30,32,NA,32,32,0,January,2018
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1517,1193,324,742,775,163,163,NA,NA,163,0,0,NA,0,NA,654,654,NA,195,459,12,12,NA,12,NA,68,68,NA,68,NA,296,296,NA,157,139,324,NA,324,310,14,January,2018
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,1560,1234,326,989,571,0,0,NA,NA,0,0,0,NA,0,NA,944,944,NA,485,459,0,0,NA,0,NA,68,68,NA,68,NA,222,222,NA,124,98,326,NA,326,312,14,January,2018
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,780,711,69,352,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,436,NA,168,268,0,0,NA,0,NA,73,73,NA,73,NA,202,202,NA,56,146,69,NA,69,55,14,January,2018
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,2087,1695,392,633,1454,396,396,NA,NA,396,0,0,NA,0,NA,1021,1021,NA,131,890,6,6,NA,6,NA,42,42,NA,42,NA,230,230,NA,104,126,392,NA,392,350,42,January,2018
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,42,18,24,25,17,0,0,NA,NA,0,NA,NA,NA,NA,NA,17,17,NA,NA,17,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,24,NA,24,24,0,January,2018
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,139,97,42,40,99,27,27,NA,NA,27,NA,NA,NA,NA,NA,70,70,NA,4,66,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,42,NA,42,36,6,January,2018
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,47,16,31,31,16,0,0,NA,NA,0,NA,NA,NA,NA,NA,16,16,NA,0,16,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,31,NA,31,31,0,January,2018
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,3,3,0,0,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January,2018
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1673,1431,242,285,1388,191,191,NA,NA,191,NA,NA,NA,NA,NA,1085,1085,NA,17,1068,11,11,NA,11,NA,12,12,NA,12,NA,132,132,NA,3,129,242,NA,242,242,0,January,2018
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,1029,874,155,699,330,50,50,NA,NA,50,NA,NA,NA,NA,NA,482,482,NA,379,103,3,3,NA,3,NA,90,90,NA,90,NA,249,249,NA,72,177,155,NA,155,155,0,January,2018
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,56,52,4,29,27,3,3,NA,NA,3,NA,NA,NA,NA,NA,48,48,NA,25,23,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,0,1,4,NA,4,4,0,January,2018
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,45,45,0,25,20,3,3,NA,NA,3,NA,NA,NA,NA,NA,42,42,NA,25,17,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,January,2018
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1482,1266,216,223,1259,191,191,NA,NA,191,NA,NA,NA,NA,NA,1075,1075,NA,7,1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,216,216,0,January,2018
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,72,46,26,14,58,45,45,NA,NA,45,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,26,13,13,January,2018
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,13,7,6,4,9,7,7,NA,NA,7,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,4,2,January,2018
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,January,2018
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,January,2018
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1660,1575,85,342,1318,191,191,NA,NA,191,NA,NA,NA,NA,NA,1254,1254,NA,186,1068,0,0,NA,0,NA,NA,NA,NA,NA,NA,130,130,NA,71,59,85,NA,85,85,0,January,2018
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,3,0,3,3,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,3,NA,3,3,0,January,2018
